espn_venue,espn_venue_norm,match,matched_stadium,City,State,lat,lon
Bud Metheny Baseball Stadium,bud metheny baseball stadium,False,,,,,
Bulldog Baseball Field,bulldog baseball field,False,,,,,
Centennial Park,centennial park,False,,,,,
Charles Schwab Field,charles schwab field,False,,,,,
Charlie and Marie Lupton Baseball Stadium at Williams-Reilly Field,charlie and marie lupton baseball stadium at williams-reilly field,False,,,,,
Chickasaw Bricktown Ballpark,chickasaw bricktown ballpark,False,,,,,
Condron Family Ballpark,condron family ballpark,False,,,,,
Constellation Field,constellation field,False,,,,,
Daikin Park,daikin park,False,,,,,
Darryl & Lori Schroeder Park,darryl & lori schroeder park,False,,,,,
Dell Diamond,dell diamond,False,,,,,
Dickey-Stephens Park,dickey-stephens park,False,,,,,
Doak Field at Dail Park,doak field at dail park,False,,,,,
Dudy Noble Field,dudy noble field,False,,,,,
Durham Bulls Athletic Park,durham bulls athletic park,False,,,,,
Dusty Rhodes Field at Harmon Stadium,dusty rhodes field at harmon stadium,False,,,,,
E.T. Straw Family Stadium,e.t. straw family stadium,False,,,,,
Earl E. Wilson Stadium,earl e. wilson stadium,False,,,,,
Eck Stadium Home of Tyler Field,eck stadium home of tyler field,False,,,,,
Eddie Pellagrini Baseball Diamond,eddie pellagrini baseball diamond,False,,,,,
English Field at Atlantic Union Bank Park,english field at atlantic union bank park,False,,,,,
Estadio Paquito Montaner,estadio paquito montaner,False,,,,,
FedExPark Avron Fogelman Field,fedexpark avron fogelman field,False,,,,,
Fifth Third Park,fifth third park,False,,,,,
Fluor Field,fluor field,False,,,,,
Frank Eck Baseball Stadium,frank eck baseball stadium,False,,,,,
Friedman Diamond,friedman diamond,False,,,,,
GSU Baseball Complex,gsu baseball complex,False,,,,,
Globe Life Field,globe life field,False,,,,,
GoMart Ballpark,gomart ballpark,False,,,,,
Goodyear Ballpark,goodyear ballpark,False,,,,,
Great Park,great park,False,,,,,
Green Field at Turchin Stadium,green field at turchin stadium,False,,,,,
Hawks Field At Haymarket Park,hawks field at haymarket park,False,,,,,
Hayden Field,hayden field,False,,,,,
J.C. Love Field at Pat Patterson Park,j.c. love field at pat patterson park,False,,,,,
Jeff Ishbia Field at McLane Stadium,jeff ishbia field at mclane stadium,False,,,,,
Joe Lee Griffin Field,joe lee griffin field,False,,,,,
John W. Smithson '68 Field,john w. smithson '68 field,False,,,,,
Johnny Reagan Field,johnny reagan field,False,,,,,
"Joseph P. Riley, Jr. Park","joseph p. riley, jr. park",False,,,,,
Keesler Federal Park,keesler federal park,False,,,,,
Keeter Stadium,keeter stadium,False,,,,,
Keilitz Field at Theunissen Stadium,keilitz field at theunissen stadium,False,,,,,
Kimrey Family Stadium,kimrey family stadium,False,,,,,
LMCU Ballpark,lmcu ballpark,False,,,,,
La Moderna Field,la moderna field,False,,,,,
Las Vegas Ballpark,las vegas ballpark,False,,,,,
Legends Field,legends field,False,,,,,
Lewis Field at Clark-LeClair Stadium,lewis field at clark-leclair stadium,False,,,,,
Lubetkin Field at Mal Simon Stadium,lubetkin field at mal simon stadium,False,,,,,
"M.L. ""Tigue"" Moore Field at Russo Park","m.l. ""tigue"" moore field at russo park",False,,,,,
MU Baseball Field,mu baseball field,False,,,,,
