event_id,home,away,stadium,City,State,lat,lon,event_date,event_dt_utc,tz_name,event_dt_local,local_date,local_time
401751111,Kennesaw St,Rutgers,,,,,,2025-02-14T22:30Z,2025-02-14 22:30:00+00:00,,,,
401750865,Jacksonville,West Virginia,John Sessions Stadium,Jacksonville,FL,30.3514967,-81.607633,2025-02-14T23:00Z,2025-02-14 23:00:00+00:00,America/New_York,2025-02-14 18:00:00-05:00,2025-02-14,18:00
401750930,South Florida,Iowa,USF Baseball Stadium,Tampa,FL,27.9449854,-82.4583107,2025-02-14T23:30Z,2025-02-14 23:30:00+00:00,America/New_York,2025-02-14 18:30:00-05:00,2025-02-14,18:30
401750821,UCF,Siena,John Euliano Park,Orlando[g],FL,28.5421218,-81.379045,2025-02-14T23:30Z,2025-02-14 23:30:00+00:00,America/New_York,2025-02-14 18:30:00-05:00,2025-02-14,18:30
401750447,North Florida,Notre Dame,Harmon Stadium,Jacksonville,FL,30.2751032,-81.508397,2025-02-14T23:30Z,2025-02-14 23:30:00+00:00,America/New_York,2025-02-14 18:30:00-05:00,2025-02-14,18:30
401750718,Texas A&M-CC,Kansas,,,,,,2025-02-14T23:40Z,2025-02-14 23:40:00+00:00,,,,
401748525,Oklahoma,Lehigh,L. Dale Mitchell Baseball Park,Norman,OK,35.2225717,-97.4394816,2025-02-14T23:55Z,2025-02-14 23:55:00+00:00,America/Chicago,2025-02-14 17:55:00-06:00,2025-02-14,17:55
401750994,Michigan St,W Michigan,,,,,,2025-02-15T00:00Z,2025-02-15 00:00:00+00:00,,,,
401750909,UNLV,Indiana,Earl Wilson Stadium,Paradise[q],NV,36.1113982,-115.1476086,2025-02-15T00:00Z,2025-02-15 00:00:00+00:00,America/Los_Angeles,2025-02-14 16:00:00-08:00,2025-02-14,16:00
401750379,Miami,Niagara,,,,,,2025-02-15T00:00Z,2025-02-15 00:00:00+00:00,,,,
401746199,Auburn,Holy Cross,Samford Stadium – Hitchcock Field at Plainsman Park,Auburn,AL,32.6098566,-85.4807825,2025-02-15T00:00Z,2025-02-15 00:00:00+00:00,America/Chicago,2025-02-14 18:00:00-06:00,2025-02-14,18:00
401750697,Houston,Minnesota,Schroeder Park,Houston,TX,29.7269568,-95.3453599,2025-02-15T00:30Z,2025-02-15 00:30:00+00:00,America/Chicago,2025-02-14 18:30:00-06:00,2025-02-14,18:30
401751135,UCLA,Cal Poly,Jackie Robinson Stadium,Los Angeles,CA,34.0592515,-118.4592399,2025-02-15T01:00Z,2025-02-15 01:00:00+00:00,America/Los_Angeles,2025-02-14 17:00:00-08:00,2025-02-14,17:00
401750605,Arizona St,Ohio State,,,,,,2025-02-15T01:30Z,2025-02-15 01:30:00+00:00,,,,
401751045,Long Beach St,Northwestern,,,,,,2025-02-15T02:00Z,2025-02-15 02:00:00+00:00,,,,
401750630,Fresno St,BYU,,,,,,2025-02-15T02:00Z,2025-02-15 02:00:00+00:00,,,,
401750240,California,Nevada,Evans Diamond,Berkeley,CA,37.8694842,-122.2634129,2025-02-15T02:00Z,2025-02-15 02:00:00+00:00,America/Los_Angeles,2025-02-14 18:00:00-08:00,2025-02-14,18:00
401751153,USC,G Washington,Dedeaux Field,Los Angeles,CA,34.0238519,-118.2899793,2025-02-15T02:30Z,2025-02-15 02:30:00+00:00,America/Los_Angeles,2025-02-14 18:30:00-08:00,2025-02-14,18:30
401750494,Fullerton,Stanford,,,,,,2025-02-15T02:30Z,2025-02-15 02:30:00+00:00,,,,
401750025,Texas A&M,Elon,Olsen Field at Blue Bell Park,College Station,TX,30.6183939,-96.3455991,2025-02-15T20:30Z,2025-02-15 20:30:00+00:00,America/Chicago,2025-02-15 14:30:00-06:00,2025-02-15,14:30
