espn_id,displayName,shortDisplayName,name,abbreviation,location,slug,color,logo_default,logo_dark
310,North Dakota State Bison,N Dakota St,Bison,NDSU,North Dakota State,north-dakota-state-bison,,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2449.png
296,North Florida Ospreys,North Florida,Ospreys,UNF,North Florida,north-florida-ospreys,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2454.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2454.png
839,North Georgia Saints,NORGE,Saints,NGA,North Georgia,north-georgia-saints,,,
404,North Texas Mean Green,North Texas,Mean Green,UNT,North Texas,north-texas-mean-green,006342,https://a.espncdn.com/i/teamlogos/ncaa/500/249.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/249.png
405,Northeastern Huskies,Northeastern,Huskies,NE,Northeastern,northeastern-huskies,CC0001,https://a.espncdn.com/i/teamlogos/ncaa/500/111.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/111.png
406,Northern Arizona Lumberjacks,N Arizona,Lumberjacks,NAU,Northern Arizona,northern-arizona-lumberjacks,001894,https://a.espncdn.com/i/teamlogos/ncaa/500/2464.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2464.png
407,Northern Colorado Bears,N Colorado,Bears,UNCO,Northern Colorado,northern-colorado-bears,003399,https://a.espncdn.com/i/teamlogos/ncaa/500/2458.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2458.png
408,Northern Illinois Huskies,N Illinois,Huskies,NIU,Northern Illinois,northern-illinois-huskies,e73139,https://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2459.png
409,Northern Iowa Panthers,Northern Iowa,Panthers,UNI,Northern Iowa,northern-iowa-panthers,130671,https://a.espncdn.com/i/teamlogos/ncaa/500/2460.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2460.png
410,Northern Kentucky Norse,N Kentucky,Norse,NKU,Northern Kentucky,northern-kentucky-norse,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/94.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/94.png
840,Northwestern College (IA) Northwestern College (Ia),NWCOLLIOWA,Northwestern College (Ia),NOR,Northwestern College (IA),northwestern-college-ia-northwestern-college-ia,,,
186,Northwestern State Demons,N'Western St,Demons,NWST,Northwestern State,northwestern-state-demons,68565F,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2466.png
411,Northwestern Wildcats,Northwestern,Wildcats,NU,Northwestern,northwestern-wildcats,372286,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/77.png
81,Notre Dame Fighting Irish,Notre Dame,Fighting Irish,ND,Notre Dame,notre-dame-fighting-irish,313A98,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/87.png
412,Oakland Golden Grizzlies,Oakland,Golden Grizzlies,OAK,Oakland,oakland-golden-grizzlies,04091c,https://a.espncdn.com/i/teamlogos/ncaa/500/2473.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2473.png
109,Ohio Bobcats,Ohio,Bobcats,OHIO,Ohio,ohio-bobcats,006342,https://a.espncdn.com/i/teamlogos/ncaa/500/195.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/195.png
108,Ohio State Buckeyes,Ohio State,Buckeyes,OSU,Ohio State,ohio-state-buckeyes,DE3129,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png
112,Oklahoma Sooners,Oklahoma,Sooners,OU,Oklahoma,oklahoma-sooners,7B0000,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/201.png
110,Oklahoma State Cowboys,Oklahoma St,Cowboys,OKST,Oklahoma State,oklahoma-state-cowboys,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/197.png
140,Old Dominion Monarchs,Old Dominion,Monarchs,ODU,Old Dominion,old-dominion-monarchs,00507D,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/295.png
92,Ole Miss Rebels,Ole Miss,Rebels,MISS,Ole Miss,ole-miss-rebels,101894,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/145.png
396,Omaha Mavericks,Omaha,Mavericks,OMA,Omaha,omaha-mavericks,e3193e,https://a.espncdn.com/i/teamlogos/ncaa/500/2437.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2437.png
111,Oral Roberts Golden Eagles,Oral Roberts,Golden Eagles,ORU,Oral Roberts,oral-roberts-golden-eagles,002955,https://a.espncdn.com/i/teamlogos/ncaa/500/198.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/198.png
273,Oregon Ducks,Oregon,Ducks,ORE,Oregon,oregon-ducks,044520,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2483.png
