event_id,event_date,status,home,away,venue,location
401748549,2025-02-16T20:30Z,Final,Clemson,Ole Miss,Globe Life Field,"Arlington, Texas"
401750097,2025-02-16T19:00Z,Final,UC Irvine,Vanderbilt,Sloan Park,"Mesa, Arizona"
401750002,2025-02-17T00:30Z,Final,Texas,Oklahoma St,Globe Life Field,"Arlington, Texas"
401748445,2025-02-16T19:00Z,Final,Mississippi St,Manhattan,Dudy Noble Field,"Starkville, Mississippi"
401751776,2025-02-16T19:05Z,Final,Dallas Baptist,N Dakota St,Horner Ballpark,"Dallas, Texas"
401750358,2025-02-16T16:30Z,Final,Arizona,Louisville,Globe Life Field,"Arlington, Texas"
401751779,2025-02-16T21:05Z,Final,Santa Barbara,Campbell,Caesar Uyesaka Stadium,"Santa Barbara, California"
401750783,2025-02-16T21:00Z,Final,San Diego,TCU,Fowler Park and Cunningham Field,"San Diego, California"
401751027,2025-02-17T00:00Z,Final,Nebraska,San Diego St,Sloan Park,"Mesa, Arizona"
401751782,2025-02-16T19:00Z,Final,Troy,Bellarmine,Riddle-Pace Field,"Troy, Alabama"
401750972,2025-02-16T15:00Z,Final,Villanova,Michigan,,
401750932,2025-02-16T15:00Z,Final,South Florida,Iowa,USF Baseball Stadium,"Tampa, Florida"
401750892,2025-02-16T16:00Z,Final,Illinois,Abilene Chrstn,Whataburger Field,"Corpus Christi, Texas"
401750823,2025-02-16T17:00Z,Final,UCF,Siena,John Euliano Park,"Orlando, Florida"
401750471,2025-02-16T17:00Z,Final,Pitt,E Michigan,Centennial Park,"Port Charlotte, Florida"
401750381,2025-02-16T17:00Z,Final,Miami,Niagara,Alex Rodriguez Park at Mark Light Field,"Coral Gables, Florida"
401748579,2025-02-16T17:15Z,Final,South Carolina,Sacred Heart,Founders Park,"Columbia, South Carolina"
401759977,2025-02-16T18:00Z,Final,SC Upstate,Boston College,Cleveland S. Harley Baseball Park,"Spartanburg, South Carolina"
401750539,2025-02-16T18:00Z,Final,Virginia Tech,Bucknell,English Field at Atlantic Union Bank Park,"Blacksburg, Virginia"
401750337,2025-02-16T18:00Z,Final,Georgia Tech,Old Dominion,Mac Nease Baseball Park,"Atlanta, Georgia"
401748491,2025-02-16T18:00Z,Final,Stetson,Missouri,Yldefonso Sola Morales Stadium,Caguas
401751885,2025-02-16T19:00Z,Final,Purdue,SF Austin,Constellation Field,"Sugar Land, Texas"
401750699,2025-02-16T19:00Z,Final,Houston,Minnesota,Darryl & Lori Schroeder Park,"Houston, Texas"
401746201,2025-02-16T19:00Z,Final,Auburn,Holy Cross,Plainsman Park,"Auburn, Alabama"
401746130,2025-02-16T19:00Z,Final,Alabama,Bradley,Sewell-Thomas Stadium,"Tuscaloosa, Alabama"
401751047,2025-02-16T19:30Z,Final,Long Beach St,Northwestern,Bohl Diamond at Blair Field,"Long Beach, California"
401750720,2025-02-16T20:00Z,Final,Texas A&M-CC,Kansas,Whataburger Field,"Corpus Christi, Texas"
401750607,2025-02-16T20:00Z,Final,Arizona St,Ohio State,Phoenix Municipal Stadium,"Phoenix, Arizona"
401751174,2025-02-16T20:30Z,Final,Coastal,Washington,Springs Brooks Stadium,"Conway, South Carolina"
401751155,2025-02-16T21:00Z,Final,USC,G Washington,Great Park,"Irvine, California"
401751137,2025-02-16T21:00Z,Final,UCLA,Cal Poly,Jackie Robinson Stadium,"Los Angeles, California"
401750846,2025-02-16T21:00Z,Final,Pepperdine,Utah,Eddy D. Field Stadium,"Malibu, California"
401750496,2025-02-16T21:00Z,Final,Fullerton,Stanford,Goodwin Field,"Fullerton, California"
401750242,2025-02-16T21:00Z,Final,California,Nevada,Stu Gordon Stadium,"Berkeley, California"
401751090,2025-02-17T00:00Z,Final,UConn,Penn State,Yldefonso Sola Morales Stadium,Caguas
401750743,2025-02-17T00:30Z,Final,Saint Joseph's,Kansas St,Springs Brooks Stadium,"Conway, South Carolina"
401750217,2025-02-16T15:00Z,Canceled,SC Upstate,Boston College,Cleveland S. Harley Baseball Park,"Spartanburg, South Carolina"
401750868,2025-02-16T19:00Z,Canceled,Jacksonville,West Virginia,John Sessions Stadium,"Jacksonville, Florida"
401748422,2025-02-16T19:00Z,Canceled,Lipscomb,Kentucky,Ken Dugan Field at Stephen Lee Marsh Stadium,"Nashville, Tennessee"
401746176,2025-02-17T18:00Z,Final,Arkansas,Washington St,Baum-Walker Stadium,"Fayetteville, Arkansas"
401751738,2025-02-17T22:00Z,Final,Oregon St,Xavier,Surprise Stadium,"Surprise, Arizona"
401750099,2025-02-17T22:30Z,Final,Vanderbilt,Air Force,Hawkins Field,"Nashville, Tennessee"
401750784,2025-02-17T20:00Z,Final,San Diego,TCU,Fowler Park and Cunningham Field,"San Diego, California"
401751028,2025-02-17T20:00Z,Final,Grand Canyon,Nebraska,Brazell Field at GCU Ballpark,"Phoenix, Arizona"
401750973,2025-02-17T14:00Z,Final,Stetson,Michigan,Yldefonso Sola Morales Stadium,Caguas
401751175,2025-02-17T15:30Z,Final,Saint Joseph's,Washington,Springs Brooks Stadium,"Conway, South Carolina"
401750912,2025-02-17T17:00Z,Final,Indiana,UNLV,Surprise Stadium,"Surprise, Arizona"
401750847,2025-02-17T20:00Z,Final,Pepperdine,Utah,Eddy D. Field Stadium,"Malibu, California"
401750608,2025-02-17T20:00Z,Final,Arizona St,Austin Peay,Phoenix Municipal Stadium,"Phoenix, Arizona"
401750744,2025-02-17T20:30Z,Final,Coastal,Kansas St,Springs Brooks Stadium,"Conway, South Carolina"
401750497,2025-02-17T21:00Z,Final,Fullerton,Stanford,Goodwin Field,"Fullerton, California"
401750243,2025-02-17T22:00Z,Final,California,Nevada,Stu Gordon Stadium,"Berkeley, California"
401750721,2025-02-17T23:00Z,Final,Texas A&M-CC,Kansas,Whataburger Field,"Corpus Christi, Texas"
401750633,2025-02-18T02:00Z,Final,Fresno St,BYU,Pete Beiden Field at Bob Bennett Stadium,"Fresno, California"
401750052,2025-02-18T20:00Z,Final,LSU,Southern,"Alex Box Stadium, Skip Bertman Field","Baton Rouge, Louisiana"
401749978,2025-02-18T21:00Z,Final,Tennessee,UNC Asheville,Lindsey Nelson Stadium,"Knoxville, Tennessee"
401750428,2025-02-18T21:00Z,Final,North Carolina,Kansas St,Bryson Field at Boshamer Stadium,"Chapel Hill, North Carolina"
401748399,2025-02-18T23:00Z,Final,Kennesaw St,Georgia,Stillwell Baseball Stadium,"Kennesaw, Georgia"
401750314,2025-02-18T22:00Z,Final,South Florida,Florida St,USF Baseball Stadium,"Tampa, Florida"
401748352,2025-02-18T23:00Z,Final,Jacksonville,Florida,John Sessions Stadium,"Jacksonville, Florida"
401750404,2025-02-18T20:00Z,Final,NC State,Liberty,Doak Field at Dail Park,"Raleigh, North Carolina"
401750565,2025-02-18T22:00Z,Final,UNC Greensboro,Wake Forest,UNCG Baseball Stadium,"Greensboro, North Carolina"
401750098,2025-02-18T19:00Z,Final,Vanderbilt,Air Force,Hawkins Field,"Nashville, Tennessee"
401750288,2025-02-18T21:00Z,Final,Duke,UNC Wilmington,Jack Coombs Field,"Durham, North Carolina"
401748446,2025-02-19T00:00Z,Final,Southern Miss,Mississippi St,Pete Taylor Park/Hill Denson Field,"Hattiesburg, Mississippi"
401750764,2025-02-19T00:30Z,Final,Oklahoma St,Texas St,Globe Life Field,"Arlington, Texas"
401753421,2025-02-18T17:30Z,Final,Dallas Baptist,UT Rio Grande,Globe Life Field,"Arlington, Texas"
401753422,2025-02-19T00:05Z,Final,Santa Barbara,Saint Mary's,Caesar Uyesaka Stadium,"Santa Barbara, California"
401746202,2025-02-19T00:00Z,Final,Auburn,Troy,Plainsman Park,"Auburn, Alabama"
401750540,2025-02-18T19:00Z,Final,Virginia Tech,ETSU,English Field at Atlantic Union Bank Park,"Blacksburg, Virginia"
401748550,2025-02-18T20:00Z,Final,Ole Miss,Arkansas St,Oxford-University Stadium at Swayze Field,"Oxford, Mississippi"
401750656,2025-02-18T21:00Z,Final,Baylor,UTSA,Magnolia Field at Baylor Ballpark,"Waco, Texas"
401750587,2025-02-18T21:00Z,Final,Arizona,New Mexico,Hi Corbett Field,"Tucson, Arizona"
401748580,2025-02-18T21:00Z,Final,Winthrop,South Carolina,The Winthrop Ballpark,"Rock Hill, South Carolina"
401746131,2025-02-18T22:00Z,Final,Alabama,MTSU,Sewell-Thomas Stadium,"Tuscaloosa, Alabama"
401750338,2025-02-18T23:00Z,Final,GA Southern,Georgia Tech,J. I. Clements Stadium,"Statesboro, Georgia"
401750382,2025-02-18T23:30Z,Final,FAU,Miami,FAU Baseball Stadium,"Boca Raton, Florida"
401750634,2025-02-19T01:00Z,Final,UCLA,BYU,Jackie Robinson Stadium,"Los Angeles, California"
401751156,2025-02-19T02:00Z,Final,UC Irvine,USC,Cicerone Field at Anteater Ballpark,"Irvine, California"
401750027,2025-02-19T00:00Z,Canceled,Texas A&M,McNeese,Olsen Field at Blue Bell Park,"College Station, Texas"
401750676,2025-02-18T20:00Z,Canceled,Cincinnati,Bowling Green,UC Baseball Stadium,"Cincinnati, Ohio"
401748423,2025-02-18T21:00Z,Postponed,Kentucky,Morehead St,Kentucky Proud Park,"Lexington, Kentucky"
401751972,2025-02-18T22:05Z,Canceled,Iowa,Loras College,Duane Banks Field,"Iowa City, Iowa"
401750003,2025-02-18T23:30Z,Canceled,Texas,Houston,UFCU Disch-Falk Field,"Austin, Texas"
401748581,2025-02-19T21:00Z,Final,South Carolina,Queens,Founders Park,"Columbia, South Carolina"
401746203,2025-02-19T22:00Z,Final,Auburn,North Alabama,Plainsman Park,"Auburn, Alabama"
401746132,2025-02-19T22:00Z,Final,Alabama,Alabama St,Sewell-Thomas Stadium,"Tuscaloosa, Alabama"
401751157,2025-02-20T02:00Z,Final,USC,Bakersfield,Page Stadium,"Los Angeles, California"
401750517,2025-02-19T20:00Z,Canceled,Virginia,G Washington,Davenport Field at Disharoon Park,"Charlottesville, Virginia"
401750700,2025-02-19T19:00Z,Canceled,Houston,Oregon St,,
401750359,2025-02-19T20:00Z,Canceled,Louisville,Xavier,Jim Patterson Stadium,"Louisville, Kentucky"
401750913,2025-02-19T21:00Z,Canceled,Indiana,Purdue FW,Bart Kaufman Field,"Bloomington, Indiana"
401750265,2025-02-19T21:00Z,Postponed,Clemson,Presbyterian,Doug Kingsmore Stadium,"Clemson, South Carolina"
401748492,2025-02-19T23:30Z,Postponed,UCF,Missouri,John Euliano Park,"Orlando, Florida"
401748353,2025-02-19T23:30Z,Postponed,Florida,Florida A&M,Condron Family Ballpark,"Gainesville, Florida"
401750053,2025-02-20T00:30Z,Canceled,Nicholls,LSU,Ben Meyer Diamond at Ray E. Didier Field,"Thibodaux, Louisiana"
401748526,2025-02-20T01:00Z,Postponed,Oklahoma,UT Arlington,Globe Life Field,"Arlington, Texas"
401760148,2025-02-20T23:00Z,Final,UCF,Missouri,John Euliano Park,"Orlando, Florida"
401750635,2025-02-21T01:30Z,Final,CSU Northridge,BYU,Matador Field,"Northridge, California"
401748400,2025-02-20T20:00Z,Postponed,Georgia,UIC,Foley Field,"Athens, Georgia"
